proteinA_entrezid,proteinB_entrezid,databases
3358,64645,mint|intact
2624,3358,signalink
27185,90121,hiunion
2932,27254,KinomeNetX
636,4747,bioplex
3358,55327,mint|intact|HIPPIE|inweb
2289,10728,HINT-binary|HIPPIE|HINT-complex
1272,27185,intact
2932,9112,KinomeNetX
2908,113523636,HINT-binary|instruct|HINT-complex
1312,9156,qubic
9575,56938,instruct|hiunion|APID|biogrid|HIPPIE|HINT-binary|intact|litbm17|inweb|pina|bioplex
2932,25852,signalink
23774,27185,hiunion
3458,4790,signalink
2670,6772,instruct|APID|biogrid|HINT-binary|intact|inweb
27185,55174,intact
2908,150709,signalink
2932,7186,bioplex|HIPPIE
2908,8079,innatedb
488,7124,pina|APID|intact|inweb
2908,7168,encode
2908,4705,encode
2908,647033,encode
515,3358,bioplex
9643,27185,intact|hiunion
2908,116938,encode
636,27185,instruct|APID|biogrid|HIPPIE|intact|pina
2908,146713,encode
7124,80381,bioplex
1742,3356,inweb
3356,8777,pina|inweb
2289,4173,HINT-binary
2908,3725,inweb|HIPPIE
2908,84951,encode|APID|biogrid
2908,3164,encode|instruct|APID|biogrid|intact|mint|pina
1813,93664,APID
7124,23291,inweb
813,2289,APID|intact|instruct
2113,7124,innatedb
2932,23765,PhosphoSP
23074,27185,intact
3350,3351,instruct|HIPPIE|HINT-binary|intact|inweb
4625,27185,pina|APID|intact|biogrid
2932,5764,instruct|APID|biogrid|mint|intact|pina
871,2289,intact
4747,80022,hiunion
10439,27185,instruct|APID|biogrid|HIPPIE|intact|pina
23650,27185,hiunion
1387,9575,inweb
7113,7124,intact|hiunion
2932,56896,PhosphoSP
2908,3092,encode
8618,27185,intact
2670,10195,bioplex|HIPPIE
7124,10133,inweb|HIPPIE|HINT-complex
5435,7124,innatedb
2908,735301,encode
2908,347902,encode
1843,2908,encode|signalink|innatedb
11113,27185,pina|APID|biogrid
1059,2932,instruct|APID|biogrid|mint|intact|pina
2908,55791,pina|inweb
2932,54540,APID|biogrid
3553,50943,signalink
2289,284001,APID|intact|instruct
4684,6710,inweb|HIPPIE
9445,27185,intact
351,4133,innatedb
1813,57348,mint|intact
2908,7915,pina|APID|intact
5519,9575,APID|litbm17|biogrid
5859,27185,hiunion
1852,2932,instruct|APID|biogrid|HINT-binary|intact|pina
583,27185,intact
2908,8714,encode
2289,55086,HINT-binary
